douban_id,title,directors,scriptwriters,actors,types,release_region,release_date,alias,languages,duration,score,description,tags
1308265,"边缘悍警 The Killer's Edge",约瑟夫·梅西,约瑟夫·梅西,"维林斯·豪塞尔,罗伯特·齐达","动作,惊悚,犯罪",美国,1991-05-09,"Blood Money",英语,"UK: 90 分钟",,,
1308264,夏日暖洋洋,宁瀛,,"余皑磊,左百韬,陶红,盖奕,刘淼,秋丽",剧情,中国大陆,2001-01-29(鹿特丹国际电影节),"我爱北京,I Love Beijing",汉语普通话,97分钟,7.3,"的士司机德子（余皑磊）离婚后认识小雪（左百韬），但两人交往没多久，德子就开始嫌其有一堆毛病，慢慢与她拉远了距离。不久，在街上拉活时，德子又结识漂亮时尚的大学图书馆管理员苗苗（陶红），对其风度、气质和性格都非常着迷，而苗苗也对德子充满好奇，两人遂有了美好的一夜。

　　苗苗介绍来自河南的打工妹郭顺给德子认识，德子才知他对苗苗的爱情只是一厢情愿。“失恋”令德子迎来无比苦闷的阶段，他开始更加拼命地拉活挣钱，就在这时，小雪割腕自杀的消息传入他的耳朵，他知道小雪曾被人强奸过，且始终摆脱不了那个阴影。自此，德子对爱情完全死心。","宁瀛,中国,中国电影,大陆,北京,2000,国产电影,剧情"
1308263,"情 정",裴昶浩,裴昶浩,"金明坤 ,尹有善",剧情,韩国,2000-06-17,外出女,韩语,0,,"在二十年代的韩国，传统思想仍在整个社会中流传着。当时十六岁的Soon-yi在别无选择的情况下，下嫁了当时只有十岁的医生的儿子Gui-dong。Soon-yi在出嫁后饱受折磨——她的“丈夫”根本对她没有任何感觉，而其家庭亦只懂得不停地严刑教训她。

　　十年后，Gui-dong从外地学成归来，并带着一个新潮的女子Young-ran回家。Young-ran更已经怀有Gui-dong的骨肉。对Soon-yi而言，她感觉自己永远跟Gui-dong无法有像他跟Young-ran般的感情。加上Gui-dong的家人对Young-ran甚有好感，于是Soon-yi决定离家出走……","韩国,裴昶浩,韩国电影,2000,经典,情,电影,推荐"
1308262,美男子,姜大卫,罗启锐,"吴耀汉,董骠,郑裕玲,沈殿霞",喜剧,香港,1987-10-29,"Mei nan zi,Mr. Handsome","粤语,汉语普通话",0,6.2,二世祖董骠移民，但移民局拒绝申请妻妾同住，向吴耀汉求助也遭拒绝，吴有一女友何美婷，两人交往已久唯吴不作结婚打算。护士郑裕玲追随吴八年有余，一直暗恋吴愿为他任劳任怨。一日何旧男友从美国返港，向何求婚，吴遇劲敌立即向何提出结婚，另一方面又要董与郑上演奸夫淫妇闹剧，令何相信他的求婚是真诚的，结果闹出笑话连篇……,"香港,喜剧,香港电影,沈殿霞,姜大卫,吴耀汉,郑裕玲,黎明"
1308261,"金瓶双艳 金瓶雙艷",李翰祥,李翰祥,"杨群,胡锦,恬妮,陈萍,姜南,王莱,成龙,田青,夏萍,石天","剧情,情色",香港,1974-01-17(香港),"The Golden Lotus",粤语,111分钟,6.4,"西门庆（杨群饰）贪婪残暴的个性人尽皆知，尽管家中如花美眷成群，但他依旧安奈不住外出寻花问柳的冲动。一次偶然中，西门庆遇见了名为潘金莲（胡锦饰）的女子，她的美艳和妖媚瞬间就将西门庆所吸引，他在内心暗下决定，一定要将这位绝世美人“收入麾下”。在西门庆的怂恿之下，潘金莲杀害了老实忠恳的丈夫，最终嫁入了西门庆的府中。

　　女人多的地方是非自然就多，西门庆府中表面看来风和日丽，但几位夫人为了争宠各自使出了千方百计。之后，西门庆又看上了他人之妻李瓶儿（恬妮饰），他故技重施人财并获，一时之间好不得意，却不知终有一天，他会栽在自己的手上。","李翰祥,情色,邵氏,香港,香港电影,成龙,电影,胡锦"
1308260,"双狙人2 Sniper 2","克雷格 R. 巴克斯利 (Craig R. Baxley)","Crash Leyland","汤贝宁加,艾丽卡·莫露珊,莲登艾丝芘,艾丽卡·莫露珊 Erika Marozsán",动作,美国,2002-12-28,"双狙人II,狙击手II,狙击手2",英语,"Argentina: 91 分钟",6.6,步入中年的贝奇曾是海军陆战队的军士长，退伍后却一直不得志。某天，军中以一项秘密任务为由，希望他到巴尔干半岛枪杀一名叛军首领。贝奇需要优秀的观测兵，而军方派给他的却是年轻的军中死刑犯柯尔。两人到了目的地之后，顺利地达成任务，但贝奇竟然意外地遭敌方逮捕。此时贝奇才发现，他的任务根本是个幌子……,"狙击,战争,美国,动作,狙击手,美国电影,双狙人,2002"
1308259,"宇宙只有我和你 เรื่องรัก น้อยนิด มหาศาล",彭力·云旦拿域安,彭力·云旦拿域安,"浅野忠信,Sinitta Boonyassak,Lalia Boonyassak","剧情,喜剧,爱情","泰国,日本",2005-01-06,宇宙的最后生命,"泰语,日语,英语","112 分钟",7.6,"住在泰国曼谷的日籍图书馆管理员健二（浅野忠信）一心求死，曾精心设计了多种自杀方式，无奈每次都是阳寿未尽天国不收，某晚，他错手将杀死其兄长的日本黑帮成员杀死，人生出现转折。

　　同一晚，Nid（LailaBoonyasak）和Noi（SinittaBoonyasak）两姐妹为一个男人发生争吵，年轻的Nid出车祸死去，健二和Noi目睹了她的死亡。随后，各怀心事的健二和Noi结伴来到Noi的老家芭堤雅，开始了为期三天的寻爱和救赎之旅。","泰国,浅野忠信,日本,泰国电影,日本电影,爱情,Pen-Ek_Ratanaruang,电影"
1308258,"火拼缉凶 Miami Beach Cops","James Winburn","Allen R. Penney",NULL,NULL,美国,NULL,,,0,,,"动作,国外电影,犯罪"
1308257,"后生 後生",狄龙,狄龙,"狄龙,姜大卫,林静,袁小田,江岛",动作,香港,1975-02-08(香港),"The Young Rebel",汉语普通话,"99 分钟",6.8,向荣（姜大卫饰）和根莱（狄龙饰）是一对亲密无间的好朋友。忽然，向荣遭逢家庭变故，一时不知所措，幸得根莱伸出援手才得以渡过难关。一日，向荣不幸遭歹徒痛殴，又是根莱恰巧路过相救。向荣请深感不懂武功的无奈，于是请求根莱带他去拜师习武。拜师入门后，向荣的武艺进步神速；但却屡屡误伤伤师兄弟，师傅只能将他逐出了师门。后来向荣遇到了当日仇人，学得一身武艺的他痛殴了对方，因此被黑社会大佬看好，聘为打手。而此时根莱却做了干探，两个好朋友注定要拼个你死我活。,"邵氏,狄龙,姜大卫,香港,香港电影,姜大卫＋狄龙,动作,1975"
1308256,"卡门在塞内加尔 Karmen Geï","Joseph Gaï Ramaka",,NULL,"剧情,爱情,歌舞","Senegal,法国,加拿大",2001-06-27,,"法语,Wolof","86 分钟",,,"歌舞,爱情,音乐,塞内加尔,2000s,非洲,法国,小说改编"
